都道府県,市区町村,地域
東京都,特別区,百分の二十
茨城県,取手市,百分の十六
茨城県,つくば市,百分の十六
埼玉県,和光市,百分の十六
千葉県,我孫子市,百分の十六
東京都,武蔵野市,百分の十六
神奈川県,横浜市,百分の十六
愛知県,刈谷市,百分の十六
京都府,長岡京市,百分の十六
大阪府,大阪市,百分の十六
茨城県,守谷市,百分の十五
埼玉県,さいたま市,百分の十五
千葉県,千葉市,百分の十五
東京都,八王子市,百分の十五
神奈川県,鎌倉市,百分の十五
静岡県,裾野市,百分の十五
愛知県,名古屋市,百分の十五
大阪府,池田市,百分の十五
兵庫県,西宮市,百分の十五
茨城県,牛久市,百分の十二
埼玉県,東松山市,百分の十二
千葉県,船橋市,百分の十二
東京都,立川市,百分の十二
神奈川県,相模原市,百分の十二
三重県,鈴鹿市,百分の十二
京都府,京田辺市,百分の十二
大阪府,豊中市,百分の十二
兵庫県,神戸市,百分の十二
奈良県,天理市,百分の十二
宮城県,多賀城市,百分の十
茨城県,水戸市,百分の十
埼玉県,新座市,百分の十
千葉県,市川市,百分の十
東京都,あきる野市,百分の十
神奈川県,横須賀市,百分の十
愛知県,西尾市,百分の十
三重県,四日市市,百分の十
滋賀県,大津市,百分の十
京都府,京都市,百分の十
大阪府,堺市,百分の十
兵庫県,尼崎市,百分の十
奈良県,奈良市,百分の十
広島県,広島市,百分の十
福岡県,福岡市,百分の十
宮城県,仙台市,百分の六
茨城県,古河市,百分の六
栃木県,宇都宮市,百分の六
群馬県,高崎市,百分の六
埼玉県,川越市,百分の六
千葉県,野田市,百分の六
神奈川県,秦野市,百分の六
山梨県,甲府市,百分の六
岐阜県,岐阜市,百分の六
静岡県,静岡市,百分の六
愛知県,岡崎市,百分の六
三重県,津市,百分の六
滋賀県,彦根市,百分の六
京都府,宇治市,百分の六
大阪府,岸和田市,百分の六
兵庫県,明石市,百分の六
奈良県,大和高田市,百分の六
和歌山県,和歌山市,百分の六
香川県,高松市,百分の六
福岡県,大野城市,百分の六
佐賀県,佐賀市,百分の三
北海道,札幌市,百分の三
宮城県,塩釜市,百分の三
茨城県,結城市,百分の三
栃木県,足利市,百分の三
群馬県,前橋市,百分の三
埼玉県,熊谷市,百分の三
千葉県,鴨川市,百分の三
東京都,武蔵村山市,百分の三
神奈川県,箱根町,百分の三
新潟県,新潟市,百分の三
富山県,富山市,百分の三
石川県,金沢市,百分の三
福井県,福井市,百分の三
山梨県,韮崎市,百分の三
長野県,長野市,百分の三
岐阜県,大垣市,百分の三
静岡県,浜松市,百分の三
愛知県,豊橋市,百分の三
三重県,名張市,百分の三
